ID,Phase Window,Top 10 Order,Title,Start Here Anchor,Profit Lever,Repo Area/Files Touched,Owner Lane,Effort,Dependencies,KPI Target,DoD,Status,Verification Evidence,Done Date,Done By
BH-011,0-14d,,Document unit economics baseline (chat + VideoHogg + infra),Section 26.1 “32 Super Moves for Financial Management”,Margin control,netlify/functions/ask.ts; backend/app/Models/VideoHoggRun.php; docs/business/unit-economics-baseline.md (new),Finance/Ops,S (1d),BH-003,Cost per 100 asks and cost per VideoHogg run calculated weekly,Baseline spreadsheet with assumptions + source query links committed,Not Started,,,
BH-012,0-14d,,Implement AI usage guardrails to cap variable cost,Section 5.5 “Installing the Guardrails”,Cost containment,netlify/functions/ask.ts; src/components/TrailChat.svelte; backend/routes/api.php,Backend/Ops,M (2d),BH-011,Reduce ask API cost per active user by >=30%,"Quota, caching, and fallback behavior enforced; over-limit requests handled gracefully",Not Started,,,
BH-013,15-45d,,Finalize checkout provider and run first successful test transaction,Section 20.1 “Converting Leads into Actual Sales 101”,Payment conversion,backend/config/services.php; backend/.env.example; docs/business/checkout-decision-record.md (new),Product/Backend,S-M (1-2d),BH-010,1 end-to-end test payment succeeds in staging and production test mode,"Provider selected, credentials configured, sandbox payment walkthrough recorded",Not Started,,,
BH-014,15-45d,,Create product catalog and pricing matrix (quick-pay buyers first),Section 5.9 “Identify the Quick-Paying Ideal and Likely Buyers”; Section 26.2 “Reevaluate Your Pricing Model”,Average order value + gross margin,src/data/products.json (new); docs/business/pricing-matrix-start-here.md (new),Product/Finance,M (2d),BH-011; BH-013,>=3 paid offers with projected gross margin >=70%,"SKU list approved (price, COGS, fulfillment owner, target buyer segment)",Not Started,,,
BH-015,15-45d,,Build orders + payment webhook + fulfillment state machine,Section 23.2 “4 Game Changing Moves to Scale Delivery/Production”,Cash collection reliability,backend/database/migrations/*create_orders_table.php (new); backend/app/Models/Order.php (new); backend/app/Http/Controllers/Api/V1/CheckoutWebhookController.php (new); backend/routes/api.php,Backend,L (4-5d),BH-013; BH-014,100% successful payments create order + fulfillment event,"Webhook verification, idempotency, retries, and failure alerts implemented",Not Started,,,
BH-016,15-45d,,Launch paid “Trail Launch Kit” digital offer from existing guide/tool assets,Section 5.12 “Find the Market’s Need and Fill It”,New revenue stream,src/pages/trail-launch-kit.astro (new); docs/business/products/trail-launch-kit.md (new); public/downloads/trail-launch-kit/* (new),Content/Product,L (4d),BH-014; BH-015,20 paid sales within 30 days of launch,"Offer page live, checkout linked, delivery assets shipped automatically",Not Started,,,
BH-017,15-45d,,Implement checklist-driven cross-sell / upsell prompts in tools,Section 19.6 “Implement a Checklist-Driven Cross-Selling and Upselling Program ASAP”,AOV lift,src/components/PackBuilder.svelte; src/components/BudgetCalculator.svelte; src/components/BudgetGearBuilder.svelte; src/components/tools/ToolsDashboard.svelte,Frontend/Growth,M (3d),BH-016,Attach rate >=20% for one add-on offer,Upsell surfaces appear at defined trigger points with event tracking and suppression rules,Not Started,,,
BH-018,15-45d,,"Create intentional referral system (codes, credits, reporting)",Section 19.3 “Intentional and Scripted Referral Generating System”,Lower CAC,backend/database/migrations/*create_referrals_table.php (new); backend/app/Models/Referral.php (new); backend/app/Http/Controllers/Api/V1/ReferralController.php (new); src/pages/referrals.astro (new),Backend/Growth,L (4d),BH-015,>=15% of paid buyers from referral channel by day 45,"Unique referral codes generated, redemption tracked, payout/credit logic documented",Not Started,,,
BH-019,15-45d,,Enable retargeting pixels and conversion event map,Section 19.1 “Add the Retargeting Pixel to Your Website”,Retargeting conversion,src/layouts/BaseLayout.astro; netlify.toml; docs/business/retargeting-events-map.md (new),Growth/Frontend,M (2d),BH-002; BH-010,Retargeting audience >=500 users in 30 days,"ViewContent, Lead, InitiateCheckout, Purchase events validated in ad manager diagnostics",Not Started,,,
BH-020,15-45d,,Build and execute 90-day marketing calendar,Section 18.1 “Create a Marketing Calendar for the Next 90 Days”,Consistent lead flow,docs/business/marketing-calendar-90-day.md (new); docs/business/content-ops-checklists.md (new),Growth/Owner,M (2d setup + weekly execution),BH-010,>=5 publish/promote actions per week for 4 consecutive weeks,"Calendar has daily actions, owner, and proof links; first 4 weeks fully executed",Not Started,,,
BH-021,15-45d,,Implement SEO critical fixes from existing audit backlog,Section 37.2 “Google Domination Equation”,Organic traffic growth,src/components/BaseHead.astro; src/layouts/BaseLayout.astro; src/layouts/BlogPost.astro; src/components/Footer.astro; src/pages/blog/index.astro,Frontend/SEO,M-L (3-4d),BH-020,+30% non-brand organic clicks within 60 days,"JSON-LD, alt-text coverage, nav/footer internal links, and page-specific metadata all shipped",Not Started,,,
BH-022,15-45d,,Operationalize article publishing checklist for SEO content,Section 37.3 “Uploading Articles / Text Content Checklist”,Compounding inbound demand,docs/business/seo-uploading-checklist-start-here.md (new); scripts/content-seo-lint.mjs (new); docs/business/content/published-log.csv (new),Content/Ops,M (2-3d),BH-021,100% of published posts pass checklist; 12 high-intent posts shipped in 30d,Checklist attached to each content PR; fail-fast lint blocks non-compliant posts,Not Started,,,
BH-023,46-90d,,Define premium live-map offer (paid layer/features) and validate demand,Section 5.14 “Customer pays for experience they want”,Recurring revenue design,docs/business/premium-live-map-prd.md (new); src/components/AtMap.svelte; src/components/trail/TrailShell.svelte,Product,M (2-3d),BH-014,100 waitlist signups OR 10 paid preorders,"PRD includes feature bundle, pricing hypothesis, and success metrics",Not Started,,,
BH-024,46-90d,,Add plans/subscriptions/invoices schema and APIs,Section 14.2 “Core Tasks of Accounting and Finance Team”,MRR enablement,backend/database/migrations/*create_plans_table.php (new); *create_subscriptions_table.php (new); *create_invoices_table.php (new); backend/routes/api.php,Backend,L (4-5d),BH-013; BH-023,Create/cancel subscription in test mode with accurate invoice records,Schema migrated; CRUD endpoints and tests for lifecycle events pass,Not Started,,,
BH-025,46-90d,,Build billing UI + premium access enforcement,Section 10.3 “Create a Culture of Accountability” (system enforcement),Paid access integrity,src/pages/account/billing.astro (new); src/pages/login.astro; src/components/trail/TrailShell.svelte; backend/routes/api.php,Frontend + Backend,L (4d),BH-024,0 unauthorized premium access in QA; billing self-serve success >=95%,Users can view/manage plan; feature flags enforced by subscription state,Not Started,,,
BH-026,46-90d,,Commercialize VideoHogg from family beta to paid pilot,Section 5.8 “Identify ideal/likely buyers” + Section 5.9 “Quick-paying buyers”,Service revenue,src/pages/videohogg.astro; backend/app/Http/Controllers/Api/V1/VideoHoggController.php; docs/business/videohogg-pilot-offer.md (new),Product/Backend,L (4-5d),BH-015; BH-014,5 paid pilot clients OR 15 qualified applications,Pilot onboarding flow includes payment/invite gate and fulfillment SLA,Not Started,,,
BH-027,46-90d,,Launch NPS + customer wow loop post-purchase,Section 19.5 “Wow and Retain Existing Customers / Net Promoter Score”,Retention / LTV,backend/routes/api.php; src/pages/checkout/success.astro (new); docs/business/nps-loop.md (new),Growth/Ops,M (2-3d),BH-016; BH-015,NPS >=40 and refund rate <5% by day 90,Survey sent after fulfillment; detractor follow-up workflow documented and running,Not Started,,,
BH-028,46-90d,,Build bundle engine for post-purchase cross-sell,Section 19.6 “Checklist-Driven Cross-Selling and Upselling”,AOV and LTV,src/data/products.json; backend/app/Services/OfferEngine.php (new); src/pages/checkout/success.astro (new),Product/Backend,M (3d),BH-017; BH-015,Post-purchase attach rate >=20%,Rules-based offer recommendations live with conversion tracking,Not Started,,,
BH-029,46-90d,,Automate lead/customer winback sequences,Section 19.4 “Resuscitation of Your Customer Nation”,Reactivation revenue,backend/app/Jobs/RunWinbackSequence.php (new); docs/business/email-sequences/winback.md (new); docs/business/scorecards/,Growth/Backend,M (2-3d),BH-008; BH-027,Re-activate >=10% dormant leads/customers in 45 days,Automated segmentation + trigger rules in place with weekly reactivation reporting,Not Started,,,
BH-030,46-90d,,Run quarterly pricing experiments and document outcomes,Section 26.2 “Reevaluate Pricing Model”; Section 26.3 “Signs Pricing Is Too Low”,Gross profit optimization,docs/business/pricing-experiments-log.md (new); docs/business/unit-economics-baseline.md,Finance/Product,M (ongoing),BH-014; BH-027,Gross profit/order +12% with conversion drop <=10%,At least 2 completed experiments with pre/post metrics and keep/kill decision,Not Started,,,
BH-031,90+d,,Finalize affiliate compliance + monthly revenue reporting,Section 30.1 “Protect Your Business from Predictable Fraud and Theft”,Compliance-safe partner revenue,src/pages/disclosures.astro (new); src/components/BudgetGearBuilder.svelte; docs/business/affiliate-disclosure-policy.md (new); docs/business/scorecards/,Growth/Ops,M (2d),BH-006; BH-005,100% affiliate surfaces show disclosure; monthly affiliate report published,Disclosure policy live; audit finds zero non-compliant affiliate links,Not Started,,,
BH-032,90+d,,Publish sponsor/media kit and package page,Section 18.2 “Create Uniform Marketing Materials”,Sponsorship revenue,src/pages/sponsor.astro (new); public/media-kit.pdf (new); src/components/prototypes/ProtoF_Ranger.svelte,Content/Sales,M (2-3d),BH-020; BH-021,10 sponsor inquiries/quarter and 2 signed deals,Media kit + pricing + contact flow live and tracked,Not Started,,,
BH-033,90+d,,Create B2B licensing offer for clubs/church/groups,Section 5.11 “Identify Competitors and Take the Food Out of Their Mouths”,High-ticket revenue,src/pages/b2b.astro (new); docs/business/b2b-offer.md (new); backend/database/migrations/*org_accounts_table.php (new),Product/Sales,L (4d),BH-015; BH-016,3 pilot org customers in first quarter,"Offer, contract terms, pricing, and invoicing flow available for pilot buyers",Not Started,,,
BH-034,90+d,,Run marketing tracking wall + weekly accountability meeting ritual,Section 18.3 “Executable Marketing Tracking Wall”; Section 10.7 “Daily Standing Accountability Meetings”,Execution reliability,docs/business/marketing-tracking-wall.md (new); docs/business/scorecards/weekly-*.md,Owner/Ops,M (ongoing),BH-004; BH-020; BH-030,12 consecutive weekly accountability sessions completed,"Meeting cadence fixed, metrics reviewed weekly, corrective actions logged within 24h",Not Started,,,
BH-035,90+d,,"Implement finance controls, reconciliation, and anti-fraud guardrails",Section 30.2 “20-Point System to Guard Against Fraud and Theft”,Leak prevention,docs/business/finance-guardrails.md (new); backend/database/migrations/*finance_audit_logs_table.php (new); backend/app/Policies/*,Finance/Backend,L (4d),BH-015,0 unexplained payment discrepancies >$10; monthly close by day 5,"Dual-approval rules, refund audit trail, and monthly reconciliation checklist operational",Not Started,,,
BH-036,90+d,,"Create delegation SOP library so owner can run system, not tasks",Section 3.1 “Decrease Business Reliance Upon You”; Section 24.1 “Universal File Nomenclature”,Scalability + owner capacity,docs/business/sops/ (new); docs/business/completion-protocol.md (new); docs/business/marketing-calendar-90-day.md,Owner/Operations,L (4-6d),BH-034,>=80% of recurring weekly tasks executed without owner intervention,"SOPs for traffic, lead capture, sales, fulfillment, and support are documented + assigned backups",Not Started,,,
